	is_ML	Total
1968-12-06	2	18796
1968-12-20	2	18814
1969-01-03	4	19294
1969-01-17	4	19273
1969-01-31	4	19311
1969-02-14	4	19232
1969-02-28	4	19267
1969-03-14	4	19117
1969-03-28	4	19103
1969-04-11	4	19101
1969-04-25	4	19086
1969-05-09	4	19192
1969-05-23	4	19191
1969-06-06	4	19308
1969-06-20	4	19327
1969-07-04	4	19396
1969-07-18	4	19408
1969-08-01	4	19410
1969-08-15	4	19475
1969-08-29	4	19487
1969-09-12	5	19560
1969-09-26	5	19588
1969-10-10	5	19629
1969-10-24	5	19626
1969-11-07	5	19829
1969-11-21	5	19846
1969-12-05	4	21057
1969-12-19	4	21044
1970-01-02	6	23933
1970-01-16	6	23953
1970-01-30	6	23969
1970-02-13	6	24195
1970-02-27	6	24242
1970-03-13	6	24457
1970-03-27	6	24520
1970-04-10	6	24679
1970-04-24	6	24724
1970-05-08	6	24682
1970-05-22	6	24761
1970-06-05	6	24856
1970-06-19	6	24851
1970-07-03	6	24942
1970-07-17	6	24971
1970-07-31	6	24993
1970-08-14	6	25212
1970-08-28	6	25175
1970-09-11	5	25181
1970-09-25	5	25192
1970-10-09	5	25354
1970-10-23	5	25375
1970-11-06	5	25287
1970-11-20	5	25330
1970-12-04	5	24766
1970-12-18	5	24849
1971-01-01	4	26482
1971-01-15	4	26521
1971-01-29	4	26544
1971-02-12	4	26648
1971-02-26	4	26672
1971-03-12	5	26753
1971-03-26	5	26823
1971-04-09	5	26941
1971-04-23	5	27020
1971-05-07	6	27060
1971-05-21	6	27112
1971-06-04	6	27387
1971-06-18	6	27437
1971-07-02	6	27397
1971-07-16	6	27476
1971-07-30	6	27465
1971-08-13	6	27605
1971-08-27	6	27671
1971-09-10	7	27809
1971-09-24	7	27905
1971-10-08	7	28017
1971-10-22	7	28107
1971-11-05	7	28221
1971-11-19	7	28255
1971-12-03	7	28208
1971-12-17	7	28263
1971-12-31	7	28247
1972-01-14	11	27342
1972-01-28	11	27440
1972-02-11	12	27587
1972-02-25	12	27678
1972-03-10	11	27765
1972-03-24	11	27854
1972-04-07	11	27842
1972-04-21	11	27945
1972-05-05	10	28136
1972-05-19	10	28121
1972-06-02	10	28196
1972-06-16	10	28154
1972-06-30	10	28225
1972-07-14	11	28291
1972-07-28	11	28298
1972-08-11	12	28357
1972-08-25	12	28377
1972-09-08	13	28448
1972-09-22	13	28448
1972-10-06	13	28528
1972-10-20	13	28521
1972-11-03	14	28649
1972-11-17	14	28675
1972-12-01	16	30147
1972-12-15	16	30123
1972-12-29	16	30172
1973-01-12	14	36292
1973-01-26	14	36343
1973-02-09	15	36288
1973-02-23	15	36281
1973-03-09	15	36545
1973-03-23	15	36640
1973-04-06	15	36858
1973-04-20	15	36883
1973-05-04	16	36917
1973-05-18	16	37039
1973-06-01	18	37017
1973-06-15	18	37097
1973-06-29	18	37173
1973-07-13	18	37182
1973-07-27	18	37286
1973-08-10	17	37338
1973-08-24	17	37360
1973-09-07	17	37587
1973-09-21	18	37670
1973-10-05	18	37962
1973-10-19	18	37955
1973-11-02	17	37987
1973-11-16	17	38063
1973-11-30	17	38051
1973-12-14	15	40265
1973-12-28	15	40302
1974-01-11	16	44900
1974-01-25	16	44946
1974-02-08	14	44918
1974-02-22	14	44907
1974-03-08	14	44594
1974-03-22	14	44577
1974-04-05	14	44483
1974-04-19	14	44448
1974-05-03	13	44569
1974-05-17	13	44605
1974-05-31	13	44639
1974-06-14	12	44611
1974-06-28	12	44584
1974-07-12	11	44739
1974-07-26	11	44768
1974-08-09	11	44867
1974-08-23	11	44825
1974-09-06	10	44665
1974-09-20	9	44695
1974-10-04	9	44677
1974-10-18	9	44685
1974-11-01	9	44760
1974-11-15	9	44944
1974-11-29	9	44918
1974-12-13	9	44840
1974-12-27	9	44869
1975-01-10	9	46251
1975-01-24	9	46271
1975-02-07	9	46274
1975-02-21	9	46330
1975-03-07	11	46363
1975-03-21	11	46309
1975-04-04	11	46470
1975-04-18	11	46532
1975-05-02	11	46517
1975-05-16	11	46642
1975-05-30	11	46574
1975-06-13	10	46770
1975-06-27	10	46731
1975-07-11	10	46935
1975-07-25	10	46937
1975-08-08	10	46893
1975-08-22	10	46930
1975-09-05	10	46969
1975-09-19	10	47022
1975-10-03	11	46997
1975-10-17	11	47041
1975-10-31	11	47011
1975-11-14	11	47028
1975-11-28	11	46983
1975-12-12	13	47875
1975-12-26	13	47872
1976-01-09	9	48640
1976-01-23	9	48630
1976-02-06	10	48750
1976-02-20	10	48709
1976-03-05	10	48705
1976-03-19	10	48705
1976-04-02	11	48716
1976-04-16	11	48663
1976-04-30	11	48734
1976-05-14	12	48800
1976-05-28	12	48861
1976-06-11	12	48664
1976-06-25	12	48704
1976-07-09	12	48704
1976-07-23	12	48734
1976-08-06	12	48802
1976-08-20	12	48793
1976-09-03	12	48743
1976-09-17	12	48701
1976-10-01	12	49044
1976-10-15	12	49059
1976-10-29	12	49066
1976-11-12	12	49090
1976-11-26	12	49146
1976-12-10	10	49688
1976-12-24	10	49692
1977-01-07	10	52191
1977-01-21	10	52268
1977-02-04	9	52410
1977-02-18	9	52406
1977-03-04	8	52332
1977-03-18	8	52357
1977-04-01	8	52342
1977-04-15	8	52413
1977-04-29	8	52340
1977-05-13	7	52387
1977-05-27	7	52384
1977-06-10	8	52279
1977-06-24	9	52265
1977-07-08	9	52081
1977-07-22	9	52071
1977-08-05	9	52127
1977-08-19	9	52137
1977-09-02	8	52027
1977-09-16	9	51984
1977-09-30	8	51921
1977-10-14	8	51750
1977-10-28	8	51779
1977-11-11	8	51857
1977-11-25	8	51817
1977-12-09	8	50960
1977-12-23	8	50983
1978-01-06	9	55063
1978-01-20	10	55109
1978-02-03	10	54894
1978-02-17	10	54888
1978-03-03	11	54983
1978-03-17	11	54921
1978-03-31	11	54934
1978-04-14	10	54812
1978-04-28	10	54813
1978-05-12	10	54520
1978-05-26	10	54452
1978-06-09	9	54649
1978-06-23	8	54704
1978-07-07	8	54748
1978-07-21	8	54680
1978-08-04	8	54537
1978-08-18	8	54645
1978-09-01	9	54771
1978-09-15	8	54790
1978-09-29	8	54818
1978-10-13	8	54861
1978-10-27	8	54860
1978-11-10	8	54897
1978-11-24	8	54876
1978-12-08	11	53891
1978-12-22	11	53965
1979-01-05	10	54031
1979-01-19	10	54039
1979-02-02	9	55107
1979-02-16	9	55137
1979-03-02	8	55230
1979-03-16	8	55361
1979-03-30	8	55361
1979-04-13	8	55591
1979-04-27	8	55735
1979-05-11	9	55884
1979-05-25	9	55908
1979-06-08	9	55923
1979-06-22	11	55947
1979-07-06	11	56204
1979-07-20	11	56323
1979-08-03	12	56440
1979-08-17	12	56377
1979-08-31	12	56408
1979-09-14	12	56858
1979-09-28	12	57004
1979-10-12	12	57243
1979-10-26	13	57338
1979-11-09	13	57545
1979-11-23	13	57580
1979-12-07	12	59044
1979-12-21	13	59094
1980-01-04	19	66129
1980-01-18	19	66240
1980-02-01	20	65914
1980-02-15	20	65995
1980-02-29	20	66069
1980-03-14	21	66327
1980-03-28	21	66384
1980-04-11	23	66436
1980-04-25	23	66501
1980-05-09	22	66640
1980-05-23	22	66730
1980-06-06	22	66725
1980-06-20	22	66843
1980-07-04	22	66800
1980-07-18	22	66538
1980-08-01	21	66491
1980-08-15	21	66282
1980-08-29	21	66189
1980-09-12	22	65551
1980-09-26	22	65340
1980-10-10	22	65081
1980-10-24	22	64806
1980-11-07	23	64502
1980-11-21	23	64262
1980-12-05	22	62738
1980-12-19	20	62772
1981-01-02	22	62798
1981-01-16	22	62830
1981-01-30	22	62855
1981-02-13	22	62270
1981-02-27	22	62273
1981-03-13	20	62214
1981-03-27	20	62252
1981-04-10	18	62366
1981-04-24	18	62335
1981-05-08	19	62419
1981-05-22	19	62473
1981-06-05	19	62423
1981-06-19	19	62464
1981-07-03	17	62603
1981-07-17	17	62882
1981-07-31	17	63185
1981-08-14	17	63408
1981-08-28	18	63626
1981-09-11	17	64168
1981-09-25	17	64554
1981-10-09	17	64754
1981-10-23	18	65042
1981-11-06	20	65499
1981-11-20	20	65929
1981-12-04	20	65983
1981-12-18	20	66040
1982-01-01	19	67937
1982-01-15	19	67952
1982-01-29	19	68049
1982-02-12	18	68055
1982-02-26	18	68233
1982-03-12	18	68321
1982-03-26	18	68374
1982-04-09	19	68386
1982-04-23	19	68555
1982-05-07	18	68490
1982-05-21	18	68515
1982-06-04	18	68943
1982-06-18	18	68922
1982-07-02	18	68780
1982-07-16	18	68809
1982-07-30	18	68851
1982-08-13	18	68872
1982-08-27	17	68949
1982-09-10	16	68811
1982-09-24	16	68855
1982-10-08	16	69047
1982-10-22	14	69093
1982-11-05	11	69012
1982-11-19	12	68944
1982-12-03	15	69276
1982-12-17	15	69435
1982-12-31	14	69433
1983-01-14	15	73477
1983-01-28	15	73481
1983-02-11	15	73422
1983-02-25	15	73485
1983-03-11	15	73494
1983-03-25	15	73441
1983-04-08	14	73463
1983-04-22	14	73523
1983-05-06	14	73438
1983-05-20	14	73398
1983-06-03	15	73223
1983-06-17	15	73285
1983-07-01	15	73511
1983-07-15	15	73684
1983-07-29	15	73753
1983-08-12	15	73893
1983-08-26	15	73975
1983-09-09	15	74163
1983-09-23	15	74105
1983-10-07	15	74146
1983-10-21	16	74291
1983-11-04	17	74363
1983-11-18	16	74407
1983-12-02	14	73327
1983-12-16	14	73222
1983-12-30	14	73283
1984-01-13	11	76904
1984-01-27	11	76742
1984-02-10	12	77086
1984-02-24	12	77153
1984-03-09	12	77154
1984-03-23	12	77136
1984-04-06	14	77244
1984-04-20	14	77168
1984-05-04	14	77544
1984-05-18	15	77635
1984-06-01	15	77804
1984-06-15	15	77814
1984-06-29	15	77718
1984-07-13	16	77708
1984-07-27	16	77767
1984-08-10	17	77842
1984-08-24	18	78104
1984-09-07	19	77943
1984-09-21	19	77942
1984-10-05	19	77957
1984-10-19	19	77867
1984-11-02	19	78039
1984-11-16	20	77997
1984-11-30	20	77887
1984-12-14	20	78373
1984-12-28	20	78317
1985-01-11	26	78514
1985-01-25	26	78520
1985-02-08	25	78776
1985-02-22	25	78810
1985-03-08	26	78929
1985-03-22	26	78991
1985-04-05	25	79163
1985-04-19	27	79169
1985-05-03	28	79469
1985-05-17	27	79396
1985-05-31	26	79422
1985-06-14	27	79557
1985-06-28	27	79627
1985-07-12	26	79993
1985-07-26	26	79941
1985-08-09	25	80036
1985-08-23	25	79860
1985-09-06	24	80117
1985-09-20	25	80133
1985-10-04	26	80251
1985-10-18	26	80268
1985-11-01	24	80514
1985-11-15	23	80545
1985-11-29	23	80692
1985-12-13	25	81807
1985-12-27	25	81878
1986-01-10	20	83450
1986-01-24	20	83625
1986-02-07	21	83433
1986-02-21	21	83476
1986-03-07	20	83516
1986-03-21	20	83548
1986-04-04	19	83379
1986-04-18	17	83391
1986-05-02	19	83136
1986-05-16	19	83171
1986-05-30	19	83288
1986-06-13	18	83397
1986-06-27	18	83257
1986-07-11	19	82925
1986-07-25	19	82928
1986-08-08	20	82704
1986-08-22	19	82807
1986-09-05	20	82704
1986-09-19	20	82847
1986-10-03	20	82862
1986-10-17	20	82838
1986-10-31	20	82748
1986-11-14	20	82728
1986-11-28	20	82578
1986-12-12	18	83026
1986-12-26	18	83034
1987-01-09	29	85204
1987-01-23	29	84993
1987-02-06	29	85084
1987-02-20	29	85208
1987-03-06	29	85246
1987-03-20	29	85333
1987-04-03	29	85492
1987-04-17	29	85568
1987-05-01	27	85947
1987-05-15	27	86081
1987-05-29	27	86057
1987-06-12	27	86481
1987-06-26	27	86723
1987-07-10	27	87071
1987-07-24	27	87124
1987-08-07	29	87524
1987-08-21	29	87611
1987-09-04	29	87899
1987-09-18	28	88113
1987-10-02	28	88044
1987-10-16	28	88039
1987-10-30	28	88022
1987-11-13	29	88166
1987-11-27	29	88062
1987-12-11	28	88094
1987-12-25	29	88124
1988-01-08	31	95707
1988-01-22	31	95683
1988-02-05	30	95553
1988-02-19	30	95513
1988-03-04	32	95613
1988-03-18	32	95499
1988-04-01	33	95449
1988-04-15	33	95353
1988-04-29	33	95184
1988-05-13	35	95137
1988-05-27	35	95143
1988-06-10	38	94804
1988-06-24	38	94659
1988-07-08	40	94664
1988-07-22	40	94642
1988-08-05	39	94394
1988-08-19	39	94294
1988-09-02	43	94144
1988-09-16	43	93973
1988-09-30	43	93814
1988-10-14	44	94043
1988-10-28	46	94120
1988-11-11	45	93988
1988-11-25	45	94017
1988-12-09	48	92239
1988-12-23	47	92257
1989-01-06	58	95755
1989-01-20	59	95879
1989-02-03	61	95928
1989-02-17	61	96022
1989-03-03	60	95854
1989-03-17	60	95930
1989-03-31	61	95919
1989-04-14	63	96077
1989-04-28	64	96093
1989-05-12	64	95960
1989-05-26	64	95891
1989-06-09	65	96008
1989-06-23	65	95975
1989-07-07	62	96019
1989-07-21	62	96162
1989-08-04	62	96152
1989-08-18	62	96186
1989-09-01	59	96148
1989-09-15	59	96139
1989-09-29	59	96216
1989-10-13	59	95992
1989-10-27	58	96035
1989-11-10	59	96125
1989-11-24	59	96110
1989-12-08	61	96636
1989-12-22	61	97008
1990-01-05	71	93735
1990-01-19	70	93779
1990-02-02	71	94274
1990-02-16	72	94442
1990-03-02	74	94748
1990-03-16	74	94878
1990-03-30	73	95355
1990-04-13	71	95762
1990-04-27	70	96018
1990-05-11	70	96426
1990-05-25	70	96821
1990-06-08	71	96935
1990-06-22	71	97507
1990-07-06	76	98022
1990-07-20	76	98415
1990-08-03	79	98961
1990-08-17	79	99210
1990-08-31	80	99844
1990-09-14	80	100640
1990-09-28	81	100967
1990-10-12	82	101515
1990-10-26	83	101898
1990-11-09	89	102195
1990-11-23	90	102650
1990-12-07	88	103561
1990-12-21	88	103683
1991-01-04	89	103653
1991-01-18	89	103800
1991-02-01	90	103951
1991-02-15	89	103860
1991-03-01	89	104194
1991-03-15	89	104182
1991-03-29	89	104153
1991-04-12	91	103885
1991-04-26	91	103852
1991-05-10	90	103981
1991-05-24	91	103846
1991-06-07	89	104079
1991-06-21	90	103949
1991-07-05	90	104229
1991-07-19	91	104460
1991-08-02	89	104827
1991-08-16	90	105265
1991-08-30	89	105302
1991-09-13	92	105364
1991-09-27	92	105548
1991-10-11	95	105706
1991-10-25	97	105732
1991-11-08	93	106885
1991-11-22	92	106842
1991-12-06	92	107301
1991-12-20	92	107014
1992-01-03	110	116505
1992-01-17	111	116447
1992-01-31	110	116380
1992-02-14	116	117861
1992-02-28	117	117768
1992-03-13	116	117916
1992-03-27	116	118003
1992-04-10	117	118281
1992-04-24	116	118333
1992-05-08	117	118234
1992-05-22	117	118281
1992-06-05	117	118321
1992-06-19	116	118273
1992-07-03	119	117674
1992-07-17	118	117407
1992-07-31	119	116981
1992-08-14	120	116376
1992-08-28	121	115942
1992-09-11	123	115536
1992-09-25	123	115398
1992-10-09	118	114929
1992-10-23	115	114687
1992-11-06	115	114136
1992-11-20	115	113872
1992-12-04	117	112914
1992-12-18	119	112998
1993-01-01	151	117699
1993-01-15	150	117788
1993-01-29	149	118026
1993-02-12	147	116628
1993-02-26	146	116749
1993-03-12	150	116736
1993-03-26	151	116809
1993-04-09	154	116973
1993-04-23	154	116838
1993-05-07	154	116836
1993-05-21	153	116831
1993-06-04	162	116808
1993-06-18	163	116848
1993-07-02	161	116832
1993-07-16	162	116690
1993-07-30	161	116848
1993-08-13	167	117003
1993-08-27	166	117009
1993-09-10	160	117081
1993-09-24	160	116951
1993-10-08	159	117123
1993-10-22	162	117177
1993-11-05	163	117100
1993-11-19	165	117340
1993-12-03	166	118277
1993-12-17	168	118382
1993-12-31	170	118590
1994-01-14	170	115721
1994-01-28	172	115972
1994-02-11	171	116504
1994-02-25	170	116571
